1;Uma oportunidade de lucro.;2025-03-06 15:42:30;2025-03-06 15:42:30
1;Uma incerteza que pode afetar os objetivos da empresa.;2025-03-06 15:42:30;2025-03-06 15:42:30
1;Uma garantia de sucesso.;2025-03-06 15:42:30;2025-03-06 15:42:30
1;Um evento positivo.;2025-03-06 15:42:30;2025-03-06 15:42:30
2;Monitoramento dos riscos.;2025-03-06 15:42:30;2025-03-06 15:42:30
2;Identificação dos riscos.;2025-03-06 15:42:30;2025-03-06 15:42:30
2;Análise dos riscos.;2025-03-06 15:42:30;2025-03-06 15:42:30
2;Definição de estratégias de mitigação.;2025-03-06 15:42:30;2025-03-06 15:42:30
3;Eliminar todos os riscos.;2025-03-06 15:42:30;2025-03-06 15:42:30
3;Minimizar os impactos negativos dos riscos.;2025-03-06 15:42:30;2025-03-06 15:42:30
3;Ignorar os riscos.;2025-03-06 15:42:30;2025-03-06 15:42:30
3;Transferir todos os riscos para terceiros.;2025-03-06 15:42:30;2025-03-06 15:42:30
